string,string,string,boolean (optional),boolean (optional),boolean (optional),integer,int (optional),string (optional),integer (optional),"enum(""TWF"", ""MTh"", ""M"", ""T"", ""W"", ""Th"", ""F"") (optional)",custom (optional)
semester,code,title,pengRequired.fall,pengRequired.spring,pengRequired.summer,yearRequired,professor.id,professor.name,capacity,days (will be used to create dayOfTheWeek),timeRange (start and end separated by ~)
fall,CSC111,Fundamentals of Programming with Engineering Applications,TRUE,TRUE,,1,,,,TWF,10:00~11:20
spring,CSC111,Fundamentals of Programming with Engineering Applications,TRUE,TRUE,,1,,,,,
fall,CSC115,Fundamentals of Programming II,TRUE,TRUE,TRUE,1,,,,,
spring,CSC115,Fundamentals of Programming II,TRUE,TRUE,TRUE,1,,,,,
summer,CSC115,Fundamentals of Programming II,TRUE,TRUE,TRUE,1,,,,,
fall,CSC230,Introduction to Computer Architecture,TRUE,FALSE,FALSE,2,,,,,
spring,CSC230,Introduction to Computer Architecture,TRUE,FALSE,FALSE,2,,,,,
summer,CSC230,Introduction to Computer Architecture,TRUE,FALSE,FALSE,2,,,,,
fall,ECE255,Introduction to Computer Architecture,FALSE,FALSE,FALSE,2,,,,,
spring,ECE255,Introduction to Computer Architecture,FALSE,FALSE,FALSE,2,,,,,
summer,ECE255,Introduction to Computer Architecture,FALSE,FALSE,FALSE,2,,,,,
fall,ECE260,Continuous-Time Signals and Systems,FALSE,,FALSE,2,,,,,
summer,ECE260,Continuous-Time Signals and Systems,FALSE,,FALSE,2,,,,,
fall,SENG265,Software Development Methods,TRUE,FALSE,FALSE,2,,,,,
spring,SENG265,Software Development Methods,TRUE,FALSE,FALSE,2,,,,,
summer,SENG265,Software Development Methods,TRUE,FALSE,FALSE,2,,,,,
fall,CSC225,Algorithms and Data Structures I,FALSE,FALSE,FALSE,2,,,,,
spring,CSC225,Algorithms and Data Structures I,FALSE,FALSE,FALSE,2,,,,,
summer,CSC225,Algorithms and Data Structures I,FALSE,FALSE,FALSE,2,,,,,
spring,ECE310,Digital Signal Processing I,,FALSE,FALSE,2,,,,,
summer,ECE310,Digital Signal Processing I,,FALSE,FALSE,2,,,,,
spring,SENG275,Software Testing,,TRUE,TRUE,2,,,,,
summer,SENG275,Software Testing,,TRUE,TRUE,2,,,,,
fall,SENG310,Human Computer Interaction,TRUE,TRUE,TRUE,2,,,,,
spring,SENG310,Human Computer Interaction,TRUE,TRUE,TRUE,2,,,,,
summer,SENG310,Human Computer Interaction,TRUE,TRUE,TRUE,2,,,,,
fall,ECE458,Communication Networks,FALSE,FALSE,,3,,,,,
spring,ECE458,Communication Networks,FALSE,FALSE,,3,,,,,
fall,CSC361,Computer Communications and Networks,FALSE,TRUE,,3,,,,,
spring,CSC361,Computer Communications and Networks,FALSE,TRUE,,3,,,,,
fall,CSC226,Algorithms and Data Structures II,FALSE,FALSE,FALSE,3,,,,,
spring,CSC226,Algorithms and Data Structures II,FALSE,FALSE,FALSE,3,,,,,
summer,CSC226,Algorithms and Data Structures II,FALSE,FALSE,FALSE,3,,,,,
fall,ECE360,Control Theory and Systems I,FALSE,FALSE,,3,,,,,
spring,ECE360,Control Theory and Systems I,FALSE,FALSE,,3,,,,,
fall,SENG321,Requirements Engineering,TRUE,TRUE,,3,,,,,
spring,SENG321,Requirements Engineering,TRUE,TRUE,,3,,,,,
spring,SENG371,Software Evolution,FALSE,TRUE,,3,,,,,
fall,ECE355,Microprocessor-Based Systems,FALSE,,,3,,,,,
fall,CSC355,Digital Logic and Computer Organization,FALSE,,,3,,,,,
fall,CSC320,Foundations of Computer Science,FALSE,FALSE,FALSE,3,,,,,
spring,CSC320,Foundations of Computer Science,FALSE,FALSE,FALSE,3,,,,,
summer,CSC320,Foundations of Computer Science,FALSE,FALSE,FALSE,3,,,,,
fall,CSC360,Operating Systems,TRUE,TRUE,FALSE,3,,,,,
spring,CSC360,Operating Systems,TRUE,TRUE,FALSE,3,,,,,
summer,CSC360,Operating Systems,FALSE,FALSE,TRUE,3,,,,,
fall,CSC370,Database Systems,FALSE,FALSE,FALSE,3,,,,,
spring,CSC370,Database Systems,FALSE,FALSE,FALSE,3,,,,,
summer,CSC370,Database Systems,FALSE,FALSE,FALSE,3,,,,,
fall,SENG350,Software Architecture and Design,FALSE,,,3,,,,,
fall,SENG360,Security Engineering,FALSE,,,3,,,,,
summer,SENG426,Software Quality Engineering,,,FALSE,4,,,,,
summer,SENG440,Embedded Systems,,,FALSE,4,,,,,
summer,SENG499,Design Project II,,,FALSE,4,,,,,
spring,ECE455,Real-Time Computer Systems Design Project,,FALSE,,4,,,,,
spring,CSC460,Design and Analysis of Real-time Systems,,TRUE,,4,,,,,
spring,SENG401,Social and Professional Issues,,TRUE,,4,,,,,
