string,string,string,integer,integer,integer,string
semester,code,title,yearRequired,capacity,professorID,name
fall,ENGR110,Design and Communication I,1,60,100,Static Prof 1
fall,ENGR130,Introduction to Professional Practice,1,100,101,Static Prof 2
spring,ENGR130,Introduction to Professional Practice,1,140,101,Static Prof 2
fall,MATH100,Calculus I,1,120,102,Static Prof 3
spring,MATH100,Calculus I,1,100,102,Static Prof 3
summer,MATH100,Calculus I,1,80,102,Static Prof 3
fall,MATH109,Introduciton to Calculus,1,120,103,Static Prof 4
spring,MATH109,Introduciton to Calculus,1,140,103,Static Prof 4
summer,MATH109,Introduciton to Calculus,1,100,103,Static Prof 4
fall,MATH110,Matrix Algebra for Engineers,1,100,104,Static Prof 5
fall,PHYS110,Introductory Physics,1,60,105,Static Prof 6
spring,PHYS110,Introductory Physics,1,120,105,Static Prof 6
spring,ENGR120,Design and Communication II,1,60,106,Static Prof 7
spring,ENGR141,Engineering Mechanics,1,100,107,Static Prof 8
summer,ENGR141,Engineering Mechanics,1,80,107,Static Prof 8
fall,MATH101,Calculus II,1,60,108,Static Prof 9
spring,MATH101,Calculus II,1,100,108,Static Prof 9
summer,MATH101,Calculus II,1,60,108,Static Prof 9
spring,PHYS111,Introductory Physics II,1,80,109,Static Prof 10
summer,PHYS111,Introductory Physics II,1,100,109,Static Prof 10
fall,CHEM101,Properties of Materials,2,80,110,Static Prof 11
summer,CHEM101,Properties of Materials,2,60,110,Static Prof 11
fall,MATH122,Logic and Foundations,2,100,111,Static Prof 12
spring,MATH122,Logic and Foundations,2,60,111,Static Prof 12
summer,MATH122,Logic and Foundations,2,80,111,Static Prof 12
fall,STAT260,Introduction to Probability and Statistics I,2,100,112,Static Prof 13
spring,STAT260,Introduction to Probability and Statistics I,2,80,112,Static Prof 13
summer,STAT260,Introduction to Probability and Statistics I,2,60,112,Static Prof 13
fall,ECON180,Introduction to Principles of Microeconomics and Financial Project Evaluation,2,80,113,Static Prof 14
summer,ECON180,Introduction to Principles of Microeconomics and Financial Project Evaluation,2,140,113,Static Prof 14
